# Time-averaged data for fix 2
# TimeStep Number-of-rows
# Row c_myPDF[1] c_myPDF[2] c_myPDF[3]
100000 1000
803 8.025 1.10267 44.7259
804 8.035 1.08857 44.9001
805 8.045 1.08114 45.0736
806 8.055 1.07475 45.2464
807 8.065 1.06546 45.4182
808 8.075 1.05782 45.5892
809 8.085 1.05167 45.7596
810 8.095 1.04397 45.9292
811 8.105 1.03428 46.0976
812 8.115 1.02679 46.2653
813 8.125 1.02416 46.4329
814 8.135 1.01743 46.5998
815 8.145 1.00968 46.7658
816 8.155 1.00025 46.9307
817 8.165 0.991217 47.0945
818 8.175 0.985853 47.2578
819 8.185 0.978447 47.4203
820 8.195 0.969684 47.5818
821 8.205 0.96757 47.7432
822 8.215 0.957121 47.9034
823 8.225 0.947056 48.0622
824 8.235 0.944459 48.221
825 8.245 0.937192 48.3789
826 8.255 0.930528 48.5361
827 8.265 0.921517 48.6921
828 8.275 0.915203 48.8475
829 8.285 0.906629 49.0017
830 8.295 0.897722 49.1549
831 8.305 0.892711 49.3075
832 8.315 0.885551 49.4593
833 8.325 0.879958 49.6105
834 8.335 0.878158 49.7617
835 8.345 0.870335 49.9119
836 8.355 0.866026 50.0618
837 8.365 0.858708 50.2107
838 8.375 0.853733 50.3592
839 8.385 0.846556 50.5067
840 8.395 0.842697 50.654
841 8.405 0.838489 50.8008
842 8.415 0.833558 50.9471
843 8.425 0.827478 51.0927
844 8.435 0.82358 51.238
845 8.445 0.819634 51.3829
846 8.455 0.812563 51.5269
847 8.465 0.808741 51.6705
848 8.475 0.802657 51.8134
849 8.485 0.797188 51.9557
850 8.495 0.796215 52.0981
851 8.505 0.791235 52.24
852 8.515 0.785929 52.3813
853 8.525 0.782406 52.5222
854 8.535 0.778315 52.6628
855 8.545 0.77435 52.8029
856 8.555 0.770819 52.9428
857 8.565 0.766302 53.0821
858 8.575 0.766096 53.2218
859 8.585 0.763038 53.3612
860 8.595 0.759413 53.5003
861 8.605 0.752878 53.6385
862 8.615 0.749826 53.7764
863 8.625 0.748242 53.9144
864 8.635 0.746982 54.0525
865 8.645 0.746477 54.1908
866 8.655 0.742864 54.3287
867 8.665 0.739874 54.4664
868 8.675 0.737049 54.6039
869 8.685 0.735254 54.7414
870 8.695 0.732633 54.8787
871 8.705 0.733026 55.0164
872 8.715 0.732015 55.1542
873 8.725 0.727648 55.2915
874 8.735 0.725205 55.4287
875 8.745 0.722579 55.5657
876 8.755 0.722632 55.703
877 8.765 0.719528 55.84
878 8.775 0.720138 55.9775
879 8.785 0.718109 56.1149
880 8.795 0.71768 56.2525
881 8.805 0.717376 56.3903
882 8.815 0.713364 56.5278
883 8.825 0.713665 56.6655
884 8.835 0.714257 56.8037
885 8.845 0.712684 56.942
886 8.855 0.710653 57.0801
887 8.865 0.709119 57.2182
888 8.875 0.708418 57.3566
889 8.885 0.709478 57.4954
890 8.895 0.713211 57.6353
891 8.905 0.713028 57.7754
892 8.915 0.713339 57.916
893 8.925 0.712361 58.0566
894 8.935 0.713687 58.1979
895 8.945 0.713055 58.3393
896 8.955 0.715022 58.4815
897 8.965 0.715858 58.6241
898 8.975 0.715878 58.767
899 8.985 0.716523 58.9104
900 8.995 0.719593 59.0547
901 9.005 0.721067 59.1997
902 9.015 0.722758 59.3453
903 9.025 0.72638 59.492
904 9.035 0.729673 59.6396
905 9.045 0.729454 59.7876
906 9.055 0.731096 59.9362
907 9.065 0.733591 60.0856
908 9.075 0.734369 60.2355
909 9.085 0.735217 60.3859
910 9.095 0.738453 60.5374
911 9.105 0.74008 60.6895
912 9.115 0.741766 60.8422
913 9.125 0.743494 60.9957
914 9.135 0.745469 61.1499
915 9.145 0.749855 61.3054
916 9.155 0.750746 61.4613
917 9.165 0.753992 61.6183
918 9.175 0.75701 61.7763
919 9.185 0.76097 61.9354
920 9.195 0.763584 62.0955
921 9.205 0.766872 62.2566
922 9.215 0.767886 62.4182
923 9.225 0.771361 62.5809
924 9.235 0.774996 62.7448
925 9.245 0.780429 62.9101
